table_schema,table_name,column_id,column_name,system_type,data_type_display,max_length,precision,scale,is_nullable,is_identity,is_computed,default_definition,collation_name
dbo,auth_credentials,1,login_id,nvarchar,nvarchar(50),100,0,0,0,0,0,NULL,SQL_Latin1_General_CP1_CI_AS
dbo,auth_credentials,2,member_id,nvarchar,nvarchar(50),100,0,0,0,0,0,NULL,SQL_Latin1_General_CP1_CI_AS
dbo,auth_credentials,3,password_hash,nvarchar,nvarchar(255),510,0,0,0,0,0,NULL,SQL_Latin1_General_CP1_CI_AS
dbo,auth_credentials,4,password_algo,nvarchar,nvarchar(20),40,0,0,0,0,0,(N'BCRYPT'),SQL_Latin1_General_CP1_CI_AS
dbo,auth_credentials,5,failed_count,int,int,4,10,0,0,0,0,((0)),NULL
dbo,auth_credentials,6,locked_until,datetime2,datetime2(7),8,27,7,1,0,0,NULL,NULL
dbo,auth_credentials,7,created_at,datetime2,datetime2(7),8,27,7,0,0,0,(sysutcdatetime()),NULL
dbo,auth_credentials,8,updated_at,datetime2,datetime2(7),8,27,7,0,0,0,(sysutcdatetime()),NULL
dbo,auth_sessions,1,session_id,uniqueidentifier,uniqueidentifier,16,0,0,0,0,0,NULL,NULL
dbo,auth_sessions,2,member_id,nvarchar,nvarchar(50),100,0,0,0,0,0,NULL,SQL_Latin1_General_CP1_CI_AS
dbo,auth_sessions,3,access_token,nvarchar,nvarchar(512),1024,0,0,0,0,0,NULL,SQL_Latin1_General_CP1_CI_AS
dbo,auth_sessions,4,expires_at,datetime2,datetime2(7),8,27,7,0,0,0,NULL,NULL
dbo,auth_sessions,5,created_at,datetime2,datetime2(7),8,27,7,0,0,0,(sysutcdatetime()),NULL
dbo,board_post_attachments,1,post_id,uniqueidentifier,uniqueidentifier,16,0,0,0,0,0,NULL,NULL
dbo,board_post_attachments,2,file_id,uniqueidentifier,uniqueidentifier,16,0,0,0,0,0,NULL,NULL
dbo,board_post_attachments,3,created_at,datetime2,datetime2(7),8,27,7,0,0,0,(sysutcdatetime()),NULL
dbo,board_posts,1,post_id,uniqueidentifier,uniqueidentifier,16,0,0,0,0,0,(newsequentialid()),NULL
dbo,board_posts,2,category_code,nvarchar,nvarchar(30),60,0,0,0,0,0,NULL,SQL_Latin1_General_CP1_CI_AS
dbo,board_posts,3,title,nvarchar,nvarchar(200),400,0,0,0,0,0,NULL,SQL_Latin1_General_CP1_CI_AS
